	Unnamed: 0	trans_id	account_id	date	type	operation	amount	balance	k_symbol	bank	account	mean_income
34	67	3608600	2378	1993-05-30	1		264.7	58753.5	2			[ 11271.53754941]
35	75	695349	2378	1993-06-07	0	0.0	9612.0	37868.6	4	EF	1222903.0	[ 11271.53754941]
36	76	695412	2378	1993-06-13	VYBER	3.0	12501.0	25367.6				[ 11271.53754941]
37	77	695577	2378	1993-06-27	0	3.0	1100.0	24267.6				[ 11271.53754941]
38	78	695499	2378	1993-06-30	0	3.0	14.6	24394.1	1			[ 11271.53754941]
39	79	3608602	2378	1993-06-30	1		141.1	24408.7	2			[ 11271.53754941]
40	435	171812	576	1993-01-01	1	2.0	900.0	900.0				[ 3072.19527027]
41	436	171813	576	1993-01-11	1	1.0	6207.0	7107.0	5	YZ	30300313.0	[ 3072.19527027]
42	437	3549613	576	1993-01-31	1		20.1	7127.1	2			[ 3072.19527027]
43	440	171815	576	1993-02-11	1	1.0	6207.0	19570.7	5	YZ	30300313.0	[ 3072.19527027]
44	444	172108	576	1993-03-01	0	3.0	2800.0	23036.9				[ 3072.19527027]
45	445	171817	576	1993-03-11	1	1.0	6207.0	29243.9	5	YZ	30300313.0	[ 3072.19527027]
46	446	171889	576	1993-03-13	0	0.0	3662.0	25581.9	4	OP	71033382.0	[ 3072.19527027]
47	447	3549617	576	1993-03-31	1		82.6	25664.5	2			[ 3072.19527027]
48	448	172109	576	1993-03-31	0	3.0	1300.0	24349.9				[ 3072.19527027]
49	449	172041	576	1993-03-31	0	3.0	14.6	25649.9	1			[ 3072.19527027]
50	455	171819	576	1993-04-11	1	1.0	6207.0	21540.2	5	YZ	30300313.0	[ 3072.19527027]
51	456	171891	576	1993-04-13	0	0.0	3662.0	17878.2	4	OP	71033382.0	[ 3072.19527027]
52	457	172014	576	1993-04-16	0	3.0	3920.0	13958.2				[ 3072.19527027]
53	464	171821	576	1993-05-11	1	1.0	6207.0	22807.8	5	YZ	30300313.0	[ 3072.19527027]
54	465	171893	576	1993-05-13	0	0.0	3662.0	19145.8	4	OP	71033382.0	[ 3072.19527027]
55	466	172012	576	1993-05-24	0	3.0	1920.0	17225.8				[ 3072.19527027]
56	467	3549621	576	1993-05-30	1		73.7	17299.5	2			[ 3072.19527027]
57	468	172045	576	1993-05-30	0	3.0	14.6	17284.9	1			[ 3072.19527027]
58	473	171823	576	1993-06-11	1	1.0	6207.0	26100.8	5	YZ	30300313.0	[ 3072.19527027]
59	474	171895	576	1993-06-13	0	0.0	3662.0	22438.8	4	OP	71033382.0	[ 3072.19527027]
60	475	3549623	576	1993-06-30	1		89.2	22528.0	2			[ 3072.19527027]
61	476	172047	576	1993-06-30	0	3.0	14.6	22513.4	1			[ 3072.19527027]
62	793	207264	704	1993-01-01	1	2.0	1000.0	1000.0				[ 9367.56326531]
63	794	207265	704	1993-01-12	1	2.0	17477.0	18477.0				[ 9367.56326531]
64	795	3553661	704	1993-01-31	1		50.1	18527.1	2			[ 9367.56326531]
65	796	207642	704	1993-01-31	1	2.0	2900.0	21427.1				[ 9367.56326531]
66	799	207643	704	1993-02-02	0	3.0	8900.0	30093.3				[ 9367.56326531]
67	800	207267	704	1993-02-12	1	2.0	17477.0	47570.3				[ 9367.56326531]
68	805	207645	704	1993-03-01	0	3.0	12600.0	39917.6				[ 9367.56326531]
69	806	207269	704	1993-03-12	1	2.0	17477.0	57394.6				[ 9367.56326531]
70	807	3553665	704	1993-03-31	1		231.6	57626.2	2			[ 9367.56326531]
71	808	207575	704	1993-03-31	0	3.0	14.6	57611.6	1			[ 9367.56326531]
72	809	207646	704	1993-03-31	0	3.0	14100.0	43511.6				[ 9367.56326531]
73	818	207415	704	1993-04-07	0	0.0	1197.0	31311.1	 	UV	96896516.0	[ 9367.56326531]
74	819	207343	704	1993-04-09	0	0.0	2141.0	29170.1	4	IJ	15132719.0	[ 9367.56326531]
75	820	207271	704	1993-04-12	1	2.0	17477.0	46647.1				[ 9367.56326531]
76	821	207648	704	1993-04-30	0	3.0	10600.0	36047.1				[ 9367.56326531]
77	830	207417	704	1993-05-07	0	0.0	1197.0	38112.0	 	UV	96896516.0	[ 9367.56326531]
78	831	207541	704	1993-05-08	0	3.0	1560.0	36552.0				[ 9367.56326531]
79	832	207345	704	1993-05-09	0	0.0	2141.0	34411.0	4	IJ	15132719.0	[ 9367.56326531]
80	833	207273	704	1993-05-12	1	2.0	17477.0	51888.0				[ 9367.56326531]
81	834	207650	704	1993-05-28	0	3.0	14300.0	37588.0				[ 9367.56326531]
82	835	3553669	704	1993-05-30	1		188.5	37776.5	2			[ 9367.56326531]
83	836	207579	704	1993-05-30	0	3.0	14.6	37761.9	1			[ 9367.56326531]
84	843	207419	704	1993-06-07	0	0.0	1197.0	39176.8	 	UV	96896516.0	[ 9367.56326531]
85	844	207347	704	1993-06-09	0	0.0	2141.0	37035.8	4	IJ	15132719.0	[ 9367.56326531]
86	845	207275	704	1993-06-12	1	2.0	17477.0	54512.8				[ 9367.56326531]
87	846	207652	704	1993-06-27	0	3.0	13000.0	41512.8				[ 9367.56326531]
88	847	207540	704	1993-06-29	0	3.0	720.0	40792.8				[ 9367.56326531]
89	848	3553671	704	1993-06-30	1		196.6	40989.4	2			[ 9367.56326531]
90	849	207581	704	1993-06-30	0	3.0	14.6	40974.8	1			[ 9367.56326531]
91	1272	1117247	3818	1993-01-01	1	2.0	600.0	600.0				[ 6759.25442478]
92	1273	1117248	3818	1993-01-09	1	2.0	17366.0	17966.0				[ 6759.25442478]
93	1274	3656579	3818	1993-01-31	1		55.8	18021.8	2			[ 6759.25442478]
94	1275	1117691	3818	1993-01-31	1	2.0	2000.0	20021.8				[ 6759.25442478]
95	1278	1117692	3818	1993-02-02	0	3.0	4200.0	33271.2				[ 6759.25442478]
96	1279	1117250	3818	1993-02-09	1	2.0	17366.0	50637.2				[ 6759.25442478]
97	1284	1117694	3818	1993-03-01	0	3.0	13500.0	40201.0				[ 6759.25442478]
98	1285	1117252	3818	1993-03-09	1	2.0	17366.0	57567.0				[ 6759.25442478]
99	1286	1117468	3818	1993-03-09	0	0.0	4065.0	49906.0	0	CD	34760767.0	[ 6759.25442478]
100	1287	1117324	3818	1993-03-09	0	0.0	3596.0	53971.0	4	QR	35474443.0	[ 6759.25442478]
101	1288	1117396	3818	1993-03-12	0	0.0	1474.0	48432.0	 	OP	32659602.0	[ 6759.25442478]
102	1289	3656583	3818	1993-03-31	1		206.3	48638.2	2			[ 6759.25442478]
103	1290	1117624	3818	1993-03-31	0	3.0	14.6	48623.6	1			[ 6759.25442478]
104	1291	1117695	3818	1993-03-31	0	3.0	11500.0	37123.6				[ 6759.25442478]
105	1300	1117470	3818	1993-04-09	0	0.0	4065.0	42690.9	0	CD	34760767.0	[ 6759.25442478]
106	1301	1117326	3818	1993-04-09	0	0.0	3596.0	39094.9	4	QR	35474443.0	[ 6759.25442478]
107	1302	1117254	3818	1993-04-09	1	2.0	17366.0	46755.9				[ 6759.25442478]
108	1303	1117398	3818	1993-04-12	0	0.0	1474.0	37620.9	 	OP	32659602.0	[ 6759.25442478]
109	1304	1117697	3818	1993-04-30	0	3.0	4300.0	33320.9				[ 6759.25442478]
110	1314	1117472	3818	1993-05-09	0	0.0	4065.0	43842.2	0	CD	34760767.0	[ 6759.25442478]
111	1315	1117328	3818	1993-05-09	0	0.0	3596.0	47907.2	4	QR	35474443.0	[ 6759.25442478]
112	1316	1117256	3818	1993-05-09	1	2.0	17366.0	51503.2				[ 6759.25442478]
113	1317	1117400	3818	1993-05-12	0	0.0	1474.0	42368.2	 	OP	32659602.0	[ 6759.25442478]
114	1318	1117699	3818	1993-05-28	0	3.0	8800.0	33568.2				[ 6759.25442478]
115	1319	3656587	3818	1993-05-30	1		167.5	33735.7	2			[ 6759.25442478]
116	1320	1117628	3818	1993-05-30	0	3.0	14.6	33721.1	1			[ 6759.25442478]
117	1329	1117594	3818	1993-06-04	0	3.0	1680.0	32956.0				[ 6759.25442478]
118	1330	1117330	3818	1993-06-09	0	0.0	3596.0	46726.0	4	QR	35474443.0	[ 6759.25442478]
119	1331	1117474	3818	1993-06-09	0	0.0	4065.0	42661.0	0	CD	34760767.0	[ 6759.25442478]
120	1332	1117258	3818	1993-06-09	1	2.0	17366.0	50322.0				[ 6759.25442478]
121	1333	1117402	3818	1993-06-12	0	0.0	1474.0	41187.0	 	OP	32659602.0	[ 6759.25442478]
122	1334	1117701	3818	1993-06-27	0	3.0	6100.0	35087.0				[ 6759.25442478]
123	1335	3656589	3818	1993-06-30	1		164.7	35251.7	2			[ 6759.25442478]
124	1336	1117630	3818	1993-06-30	0	3.0	14.6	35237.1	1			[ 6759.25442478]
125	1832	579373	1972	1993-01-02	1	2.0	400.0	400.0				[ 1842.02523364]
126	1833	579374	1972	1993-01-07	1	1.0	5298.0	5698.0	5	UV	14132887.0	[ 1842.02523364]
127	1834	3595783	1972	1993-01-31	1		19.1	5717.1	2			[ 1842.02523364]
128	1837	579376	1972	1993-02-07	1	1.0	5298.0	16336.9	5	UV	14132887.0	[ 1842.02523364]
129	1841	579378	1972	1993-03-07	1	1.0	5298.0	26980.4	5	UV	14132887.0	[ 1842.02523364]
130	1842	579450	1972	1993-03-09	0	0.0	2736.0	24244.4	4	YZ	67027497.0	[ 1842.02523364]
131	1843	579615	1972	1993-03-31	0	3.0	14.6	24310.8	1			[ 1842.02523364]
132	1844	3595787	1972	1993-03-31	1		81.1	24325.4	2			[ 1842.02523364]
133	1850	579682	1972	1993-04-01	0	3.0	100.0	20899.0				[ 1842.02523364]
134	1851	579380	1972	1993-04-07	1	1.0	5298.0	26197.0	5	UV	14132887.0	[ 1842.02523364]
135	1852	579452	1972	1993-04-09	0	0.0	2736.0	23461.0	4	YZ	67027497.0	[ 1842.02523364]
136	1853	579572	1972	1993-04-28	0	3.0	2720.0	20741.0				[ 1842.02523364]
137	1860	579382	1972	1993-05-07	1	1.0	5298.0	28761.5	5	UV	14132887.0	[ 1842.02523364]
138	1861	579454	1972	1993-05-09	0	0.0	2736.0	26025.5	4	YZ	67027497.0	[ 1842.02523364]
139	1862	579619	1972	1993-05-30	0	3.0	14.6	26116.5	1			[ 1842.02523364]
140	1863	3595791	1972	1993-05-30	1		105.6	26131.1	2			[ 1842.02523364]
141	1869	579384	1972	1993-06-07	1	1.0	5298.0	31877.8	5	UV	14132887.0	[ 1842.02523364]
142	1870	579456	1972	1993-06-09	0	0.0	2736.0	29141.8	4	YZ	67027497.0	[ 1842.02523364]
143	1871	579684	1972	1993-06-28	0	3.0	1400.0	27741.8				[ 1842.02523364]
144	1872	579621	1972	1993-06-30	0	3.0	14.6	27845.1	1			[ 1842.02523364]
145	1873	3595793	1972	1993-06-30	1		118.0	27859.7	2			[ 1842.02523364]
146	2201	771035	2632	1993-01-02	1	2.0	1100.0	1100.0				[ 7221.160625]
147	2202	771036	2632	1993-01-09	1	2.0	14264.0	15364.0				[ 7221.160625]
148	2203	3617490	2632	1993-01-31	1		47.5	15411.5	2			[ 7221.160625]
149	2207	771485	2632	1993-02-03	0	3.0	6900.0	27997.3				[ 7221.160625]
150	2208	771038	2632	1993-02-09	1	2.0	14264.0	42261.3				[ 7221.160625]
151	2213	771487	2632	1993-03-02	0	3.0	13500.0	34285.7				[ 7221.160625]
152	2214	771040	2632	1993-03-09	1	2.0	14264.0	48549.7				[ 7221.160625]
153	2215	771112	2632	1993-03-10	0	0.0	2042.0	46507.7	4	EF	40250009.0	[ 7221.160625]
154	2216	3617494	2632	1993-03-31	1		195.2	46702.9	2			[ 7221.160625]
155	2217	771417	2632	1993-03-31	0	3.0	14.6	46688.3	1			[ 7221.160625]
156	2227	771384	2632	1993-04-01	0	3.0	1700.0	43262.9				[ 7221.160625]
157	2228	771489	2632	1993-04-01	0	3.0	7700.0	35562.9				[ 7221.160625]
158	2229	771258	2632	1993-04-06	0	0.0	2300.0	33262.9	0	IJ	36942219.0	[ 7221.160625]
159	2230	771186	2632	1993-04-08	0	0.0	41.0	33221.9	 	IJ	73459928.0	[ 7221.160625]
160	2231	771042	2632	1993-04-09	1	2.0	14264.0	47485.9				[ 7221.160625]
161	2232	771114	2632	1993-04-10	0	0.0	2042.0	45443.9	4	EF	40250009.0	[ 7221.160625]
162	2233	771379	2632	1993-04-18	0	3.0	2700.0	42743.9				[ 7221.160625]
163	2245	771260	2632	1993-05-06	0	0.0	2300.0	27946.3	0	IJ	36942219.0	[ 7221.160625]
164	2246	771188	2632	1993-05-08	0	0.0	41.0	27905.3	 	IJ	73459928.0	[ 7221.160625]
165	2247	771044	2632	1993-05-09	1	2.0	14264.0	42169.3				[ 7221.160625]
166	2248	771116	2632	1993-05-10	0	0.0	2042.0	40127.3	4	EF	40250009.0	[ 7221.160625]
167	2249	771492	2632	1993-05-29	0	3.0	8800.0	31327.3				[ 7221.160625]
168	2250	3617498	2632	1993-05-30	1		153.6	31480.9	2			[ 7221.160625]
169	2251	771421	2632	1993-05-30	0	3.0	14.6	31466.3	1			[ 7221.160625]
170	2259	771262	2632	1993-06-06	0	0.0	2300.0	31291.0	0	IJ	36942219.0	[ 7221.160625]
171	2260	771190	2632	1993-06-08	0	0.0	41.0	31250.0	 	IJ	73459928.0	[ 7221.160625]
172	2261	771046	2632	1993-06-09	1	2.0	14264.0	45514.0				[ 7221.160625]
173	2262	771118	2632	1993-06-10	0	0.0	2042.0	43472.0	4	EF	40250009.0	[ 7221.160625]
174	2263	771494	2632	1993-06-28	0	3.0	7600.0	35872.0				[ 7221.160625]
175	2264	3617500	2632	1993-06-30	1		166.8	36038.8	2			[ 7221.160625]
176	2265	771423	2632	1993-06-30	0	3.0	14.6	36024.2	1			[ 7221.160625]
177	2765	452728	1539	1993-01-03	1	2.0	600.0	600.0				[ 10040.6574359]
178	2769	453139	1539	1993-02-04	0	3.0	13400.0	42987.6				[ 10040.6574359]
179	2774	453141	1539	1993-03-03	0	3.0	21000.0	44606.1				[ 10040.6574359]
180	2775	452730	1539	1993-03-11	1	2.0	24439.0	69045.1				[ 10040.6574359]
181	2776	452735	1539	1993-03-20	1	2.0	11411.0	80456.1				[ 10040.6574359]
182	2777	452731	1539	1993-03-24	1	2.0	5912.0	86368.1				[ 10040.6574359]
183	2778	452928	1539	1993-03-26	VYBER	3.0	19356.0	67012.1				[ 10040.6574359]
184	2779	452859	1539	1993-03-28	0	3.0	8400.0	58612.1	 		0.0	[ 10040.6574359]
185	2780	453071	1539	1993-03-31	0	3.0	100.0	58799.4	1			[ 10040.6574359]
186	2781	3447025	1539	1993-03-31	1		287.4	58899.4	2			[ 10040.6574359]
187	2788	453143	1539	1993-04-02	0	3.0	4700.0	29982.1				[ 10040.6574359]
188	2789	452788	1539	1993-04-03	0	3.0	7000.0	22982.1	4		0.0	[ 10040.6574359]
189	2790	452860	1539	1993-04-06	0	3.0	9400.0	13582.1	 		0.0	[ 10040.6574359]
190	2791	452729	1539	1993-04-09	1	2.0	14458.0	28040.1				[ 10040.6574359]
191	2792	452733	1539	1993-04-16	1	2.0	14234.0	42274.1				[ 10040.6574359]
192	2793	452861	1539	1993-04-27	0	3.0	6700.0	35574.1	 		0.0	[ 10040.6574359]
193	2802	452862	1539	1993-05-07	0	3.0	7800.0	6013.1	 		0.0	[ 10040.6574359]
194	2803	452791	1539	1993-05-27	0	3.0	6500.0	-486.9	4		0.0	[ 10040.6574359]
195	2804	453146	1539	1993-05-30	1	2.0	9200.0	8713.1				[ 10040.6574359]
196	2805	453075	1539	1993-05-30	0	3.0	100.0	-632.6	1			[ 10040.6574359]
197	2806	452863	1539	1993-05-30	0	3.0	9300.0	-532.6	 		0.0	[ 10040.6574359]
198	2807	3447030	1539	1993-05-30	0	3.0	0.7	-633.3	3			[ 10040.6574359]
199	2808	3447029	1539	1993-05-30	1		54.3	8767.4	2			[ 10040.6574359]
200	2813	452864	1539	1993-06-01	0	3.0	9800.0	962.1	 		0.0	[ 10040.6574359]
201	2814	452792	1539	1993-06-11	0	3.0	4900.0	-3937.9	4		0.0	[ 10040.6574359]
202	2815	453148	1539	1993-06-29	1	2.0	13300.0	9362.1				[ 10040.6574359]
203	2816	453077	1539	1993-06-30	0	3.0	100.0	9279.7	1			[ 10040.6574359]
204	2817	3447033	1539	1993-06-30	1		17.6	9379.7	2			[ 10040.6574359]
205	2818	3447034	1539	1993-06-30	0	3.0	23.4	9256.3	3			[ 10040.6574359]
206	3217	725751	2484	1993-01-03	1	2.0	1100.0	1100.0				[ 5416.32027027]
207	3218	725752	2484	1993-01-12	1	2.0	14779.0	15879.0				[ 5416.32027027]
208	3219	3612139	2484	1993-01-31	1		42.7	15921.7	2			[ 5416.32027027]
209	3223	726267	2484	1993-02-04	0	3.0	8100.0	28218.3				[ 5416.32027027]
210	3224	725754	2484	1993-02-12	1	2.0	14779.0	42997.3				[ 5416.32027027]
211	3229	726269	2484	1993-03-03	0	3.0	12500.0	37342.0				[ 5416.32027027]
212	3230	725756	2484	1993-03-12	1	2.0	14779.0	52121.0				[ 5416.32027027]
213	3231	725972	2484	1993-03-14	0	0.0	599.0	51522.0	0	GH	75644820.0	[ 5416.32027027]
214	3232	726199	2484	1993-03-31	0	3.0	14.6	51719.5	1			[ 5416.32027027]
215	3233	3612143	2484	1993-03-31	1		212.1	51734.1	2			[ 5416.32027027]
216	3243	726271	2484	1993-04-02	0	3.0	7600.0	36441.3				[ 5416.32027027]
217	3244	725902	2484	1993-04-05	0	0.0	538.0	35903.3	 	OP	83567636.0	[ 5416.32027027]
218	3245	725830	2484	1993-04-08	0	0.0	2343.0	33560.3	4	OP	3728384.0	[ 5416.32027027]
219	3246	726046	2484	1993-04-11	0	0.0	1390.0	32170.3	 	ST	72945260.0	[ 5416.32027027]
220	3247	725758	2484	1993-04-12	1	2.0	14779.0	46949.3				[ 5416.32027027]
221	3248	725974	2484	1993-04-14	0	0.0	599.0	46350.3	0	GH	75644820.0	[ 5416.32027027]
222	3249	726165	2484	1993-04-29	0	3.0	840.0	45510.3				[ 5416.32027027]
223	3261	725904	2484	1993-05-05	0	0.0	538.0	33803.0	 	OP	83567636.0	[ 5416.32027027]
224	3262	725832	2484	1993-05-08	0	0.0	2343.0	31460.0	4	OP	3728384.0	[ 5416.32027027]
225	3263	726048	2484	1993-05-11	0	0.0	1390.0	30070.0	 	ST	72945260.0	[ 5416.32027027]
226	3264	726163	2484	1993-05-12	0	3.0	2520.0	42329.0				[ 5416.32027027]
227	3265	726161	2484	1993-05-12	0	3.0	1440.0	40889.0				[ 5416.32027027]
228	3266	725760	2484	1993-05-12	1	2.0	14779.0	44849.0				[ 5416.32027027]
229	3267	725976	2484	1993-05-14	0	0.0	599.0	40290.0	0	GH	75644820.0	[ 5416.32027027]
230	3268	726274	2484	1993-05-30	0	3.0	6100.0	34341.7				[ 5416.32027027]
231	3269	726203	2484	1993-05-30	0	3.0	14.6	40441.7	1			[ 5416.32027027]
232	3270	3612147	2484	1993-05-30	1		166.3	40456.3	2			[ 5416.32027027]
233	3280	725906	2484	1993-06-05	0	0.0	538.0	34807.4	 	OP	83567636.0	[ 5416.32027027]
234	3281	725834	2484	1993-06-08	0	0.0	2343.0	32464.4	4	OP	3728384.0	[ 5416.32027027]
235	3282	726050	2484	1993-06-11	0	0.0	1390.0	31074.4	 	ST	72945260.0	[ 5416.32027027]
236	3283	725762	2484	1993-06-12	1	2.0	14779.0	45853.4				[ 5416.32027027]
237	3284	725978	2484	1993-06-14	0	0.0	599.0	45254.4	0	GH	75644820.0	[ 5416.32027027]
238	3285	726276	2484	1993-06-29	0	3.0	9500.0	35754.4				[ 5416.32027027]
239	3286	726205	2484	1993-06-30	0	3.0	14.6	35908.8	1			[ 5416.32027027]
240	3287	3612149	2484	1993-06-30	1		169.0	35923.4	2			[ 5416.32027027]
241	3825	497211	1695	1993-01-03	1	2.0	200.0	200.0				[ 14932.91216216]
242	3826	497212	1695	1993-01-08	1	2.0	11832.0	12032.0				[ 14932.91216216]
243	3827	3586191	1695	1993-01-31	1		38.8	12070.8	2			[ 14932.91216216]
244	3830	497554	1695	1993-02-04	1	2.0	5200.0	24820.9				[ 14932.91216216]
245	3834	497556	1695	1993-03-03	1	2.0	900.0	26321.2				[ 14932.91216216]
246	3835	3586195	1695	1993-03-31	1		50.1	26371.3	2			[ 14932.91216216]
247	3838	497558	1695	1993-04-02	0	3.0	400.0	24921.5				[ 14932.91216216]
248	3843	3586199	1695	1993-05-30	1		105.1	25328.6	2			[ 14932.91216216]
249	3844	497561	1695	1993-05-30	0	3.0	2900.0	22428.6				[ 14932.91216216]
250	3847	497563	1695	1993-06-29	1	2.0	600.0	24233.7				[ 14932.91216216]
251	3848	3586201	1695	1993-06-30	1		105.1	24338.8	2			[ 14932.91216216]
252	4284	232960	793	1993-01-03	1	2.0	800.0	800.0				[ 1699.97583893]
253	4285	232961	793	1993-01-05	1	1.0	3401.0	4201.0		IJ	6149286.0	[ 1699.97583893]
254	4286	3556397	793	1993-01-31	1		15.2	4216.2	2			[ 1699.97583893]
255	4289	232963	793	1993-02-05	1	1.0	3401.0	11035.7		IJ	6149286.0	[ 1699.97583893]
256	4293	232965	793	1993-03-05	1	1.0	3401.0	17872.7		IJ	6149286.0	[ 1699.97583893]
257	4294	233109	793	1993-03-07	0	0.0	204.0	17668.7		OP	25394970.0	[ 1699.97583893]
258	4295	233294	793	1993-03-10	0	3.0	210.0	17458.7				[ 1699.97583893]
259	4296	233181	793	1993-03-11	0	0.0	851.0	16607.7		YZ	95059883.0	[ 1699.97583893]
260	4297	233037	793	1993-03-12	0	0.0	1212.0	15395.7		CD	41663390.0	[ 1699.97583893]
261	4298	233297	793	1993-03-15	0	3.0	660.0	14735.7				[ 1699.97583893]
262	4299	3556401	793	1993-03-31	1		55.0	14790.7	2			[ 1699.97583893]
263	4300	233329	793	1993-03-31	0	3.0	14.6	14776.1	1			[ 1699.97583893]
264	4308	232967	793	1993-04-05	1	1.0	3401.0	18612.5		IJ	6149286.0	[ 1699.97583893]
265	4309	233111	793	1993-04-07	0	0.0	204.0	18408.5		OP	25394970.0	[ 1699.97583893]
266	4310	233183	793	1993-04-11	0	0.0	851.0	17557.5		YZ	95059883.0	[ 1699.97583893]
267	4311	233039	793	1993-04-12	0	0.0	1212.0	16345.5		CD	41663390.0	[ 1699.97583893]
268	4312	233295	793	1993-04-13	0	3.0	1110.0	15235.5				[ 1699.97583893]
269	4321	232969	793	1993-05-05	1	1.0	3401.0	19875.7		IJ	6149286.0	[ 1699.97583893]
270	4322	233113	793	1993-05-07	0	0.0	204.0	19671.7		OP	25394970.0	[ 1699.97583893]
271	4323	233185	793	1993-05-11	0	0.0	851.0	18820.7		YZ	95059883.0	[ 1699.97583893]
272	4324	233292	793	1993-05-11	0	3.0	1050.0	17770.7				[ 1699.97583893]
273	4325	233041	793	1993-05-12	0	0.0	1212.0	16558.7		CD	41663390.0	[ 1699.97583893]
274	4326	233293	793	1993-05-29	0	3.0	180.0	16378.7				[ 1699.97583893]
275	4327	3556405	793	1993-05-30	1		70.9	16449.7	2			[ 1699.97583893]
276	4328	233333	793	1993-05-30	0	3.0	14.6	16435.1	1			[ 1699.97583893]
277	4335	232971	793	1993-06-05	1	1.0	3401.0	21029.0		IJ	6149286.0	[ 1699.97583893]
278	4336	233115	793	1993-06-07	0	0.0	204.0	20825.0		OP	25394970.0	[ 1699.97583893]
279	4337	233187	793	1993-06-11	0	0.0	851.0	19974.0		YZ	95059883.0	[ 1699.97583893]
280	4338	233043	793	1993-06-12	0	0.0	1212.0	18762.0		CD	41663390.0	[ 1699.97583893]
281	4339	3556407	793	1993-06-30	1		78.5	18840.5	2			[ 1699.97583893]
282	4340	233335	793	1993-06-30	0	3.0	14.6	18825.9	1			[ 1699.97583893]
283	4781	505240	1726	1993-01-03	1	2.0	1000.0	1000.0				[ 7156.57]
284	4782	505241	1726	1993-01-13	1	2.0	13967.0	14967.0				[ 7156.57]
285	4783	3587145	1726	1993-01-31	1		38.2	15005.2	2			[ 7156.57]
286	4787	505751	1726	1993-02-04	0	3.0	3200.0	31882.2				[ 7156.57]
287	4788	505243	1726	1993-02-13	1	2.0	13967.0	45849.2				[ 7156.57]
288	4793	505753	1726	1993-03-03	0	3.0	10800.0	37787.1				[ 7156.57]
289	4794	505245	1726	1993-03-13	1	2.0	13967.0	51754.1				[ 7156.57]
290	4795	3587149	1726	1993-03-31	1		210.2	51964.3	2			[ 7156.57]
291	4796	505683	1726	1993-03-31	0	3.0	14.6	51949.7	1			[ 7156.57]
292	4807	505755	1726	1993-04-02	1	2.0	7200.0	21683.2				[ 7156.57]
