SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,effort,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.6933296809999999,42,2,"(0.00214, 0.00287]",2230.0,7,0,0,0,0.0
0,0.0,64,0,"(0.000309, 0.00134]",11000.0,9,0,1,0,0.0
0,0.881836362,50,3,"(0.00468, 0.00649]",4000.0,9,0,1,0,1.0
0,0.9999998999999999,75,1,"(0.00134, 0.00214]",3400.0,1,0,1,0,1.0
0,0.363636364,26,0,"(-0.001, 0.000309]",1000.0,1,0,0,0,0.0
0,0.304490668,52,0,"(0.00649, 0.04]",3500.0,10,0,2,0,0.0
0,0.71998531,41,1,"(0.00468, 0.00649]",5700.0,14,0,1,0,0.0
0,0.07289757,81,0,"(0.04, 12.67]",,7,0,0,0,0.0
0,0.46905684200000003,31,0,"(0.000309, 0.00134]",9250.0,4,0,0,0,1.0
0,0.718705378,28,0,"(0.00134, 0.00214]",3661.0,4,0,0,0,1.0
0,0.368875933,68,0,"(12.67, 3296.64]",1.0,31,0,1,0,0.0
0,0.000602723,70,0,"(0.00134, 0.00214]",16800.0,12,0,1,0,2.0
0,0.061440132,62,0,"(-0.001, 0.000309]",3133.0,2,0,0,0,0.0
0,0.140110634,31,0,"(0.00649, 0.04]",1937.0,4,0,2,0,0.0
0,0.834048027,38,0,"(0.00367, 0.00468]",13000.0,13,0,2,0,2.0
0,7.96e-05,70,0,"(0.00214, 0.00287]",6900.0,21,1,1,0,0.0
0,0.818977517,73,0,"(12.67, 3296.64]",0.0,9,0,1,1,0.0
1,0.728150491,31,0,"(0.00649, 0.04]",3000.0,10,0,2,0,1.0
0,0.9999998999999999,62,0,"(-0.001, 0.000309]",,1,0,0,0,0.0
0,0.028562367,51,0,"(0.00287, 0.00367]",5750.0,5,0,1,0,0.0
0,0.9920159679999999,29,0,"(-0.001, 0.000309]",2231.0,1,0,0,0,0.0
0,0.070853769,55,0,"(0.000309, 0.00134]",13793.0,4,0,1,0,0.0
0,0.454971915,46,1,"(-0.001, 0.000309]",13000.0,10,0,0,0,1.0
0,0.401199782,64,0,"(0.00287, 0.00367]",3216.0,4,0,1,0,0.0
0,0.5411088039999999,43,0,"(12.67, 3296.64]",,3,0,1,0,2.0
0,0.655569945,35,0,"(0.00214, 0.00287]",5813.0,10,0,0,0,2.0
0,0.651603452,58,0,"(0.00214, 0.00287]",7783.0,11,0,1,0,0.0
0,0.027399502000000003,69,0,"(-0.001, 0.000309]",5600.0,3,0,0,0,0.0
0,0.10115582099999999,72,0,"(12.67, 3296.64]",,12,0,2,0,0.0
0,0.009788861999999999,46,0,"(0.00649, 0.04]",3326.0,6,0,2,0,2.0
0,0.337520702,60,0,"(0.00468, 0.00649]",4500.0,10,0,2,0,0.0
0,0.0,67,0,"(0.00468, 0.00649]",3720.0,2,0,1,0,0.0
0,0.750873672,55,2,"(0.00287, 0.00367]",7723.0,17,0,1,0,1.0
0,0.006799093000000001,27,1,"(0.00649, 0.04]",764.0,3,0,0,0,0.0
0,0.0042640790000000005,31,0,"(0.000309, 0.00134]",2000.0,6,1,0,0,2.0
0,0.26948375,64,0,"(0.00134, 0.00214]",9455.0,13,0,1,0,3.0
0,0.265898391,36,0,"(0.00214, 0.00287]",8384.0,6,0,2,0,1.0
0,0.142013011,67,0,"(12.67, 3296.64]",,7,0,2,0,0.0
0,0.827708197,56,0,"(0.00367, 0.00468]",6793.0,15,1,1,0,0.0
0,0.059668871,31,0,"(12.67, 3296.64]",0.0,11,0,2,0,1.0
1,0.13306279,49,1,"(0.00134, 0.00214]",10257.0,9,0,2,0,3.0
0,0.234218112,36,0,"(0.000309, 0.00134]",8600.0,19,0,0,0,3.0
0,0.12229593300000001,29,0,"(0.00649, 0.04]",4800.0,5,0,1,0,0.0
0,0.46037631700000003,37,0,"(0.000309, 0.00134]",4975.0,6,0,0,0,0.0
0,0.335558577,69,0,"(0.00214, 0.00287]",15000.0,14,0,2,0,1.0
0,0.270522569,41,0,"(0.00649, 0.04]",1042.0,11,0,2,0,2.0
0,0.183316667,52,0,"(0.000309, 0.00134]",10833.0,14,0,2,0,1.0
0,0.074861676,66,0,"(0.00134, 0.00214]",4500.0,3,0,1,0,0.0
0,0.017258976999999998,53,0,"(0.00649, 0.04]",12414.0,13,0,1,0,2.0
0,0.054497069,56,0,"(0.00468, 0.00649]",4950.0,18,0,2,0,0.0
0,0.029164236,31,0,"(0.00367, 0.00468]",3300.0,10,0,1,0,0.0
0,0.0,58,0,"(0.00287, 0.00367]",4886.0,9,0,1,0,1.0
0,0.360509632,58,1,"(12.67, 3296.64]",,8,0,2,0,0.0
0,0.0037496879999999997,64,0,"(-0.001, 0.000309]",3200.0,5,0,0,1,0.0
1,0.734477501,45,0,"(0.00468, 0.00649]",4716.0,13,0,2,0,2.0
0,0.08056416799999999,60,0,"(0.00468, 0.00649]",4916.0,15,0,2,0,0.0
0,0.039387786,51,0,"(12.67, 3296.64]",0.0,7,0,0,0,0.0
0,0.023767432999999998,83,0,"(0.000309, 0.00134]",10500.0,13,0,0,0,0.0
0,0.784835658,52,0,"(12.67, 3296.64]",,10,0,2,1,0.0
0,0.888822236,34,0,"(0.00367, 0.00468]",3050.0,4,0,0,0,1.0
0,0.791173628,44,0,"(0.00468, 0.00649]",3100.0,5,0,1,0,0.0
0,0.24535301,37,0,"(0.00287, 0.00367]",6500.0,11,1,1,1,0.0
0,0.542242704,48,2,"(0.04, 12.67]",,2,0,0,0,
0,0.010531378999999999,57,0,"(0.00214, 0.00287]",5714.0,6,0,1,0,0.0
0,0.363199686,32,0,"(0.00468, 0.00649]",2900.0,4,0,1,0,0.0
0,0.032617977,75,0,"(-0.001, 0.000309]",7500.0,4,0,0,0,0.0
0,0.013024673999999998,61,0,"(0.04, 12.67]",,4,0,0,0,0.0
0,0.019387778999999997,34,0,"(0.00287, 0.00367]",4000.0,9,0,1,0,0.0
0,0.634485057,52,0,"(0.00134, 0.00214]",2690.0,2,0,0,0,0.0
0,0.888008615,44,0,"(0.00287, 0.00367]",4908.0,8,0,0,0,1.0
0,0.0031088490000000003,57,0,"(0.00214, 0.00287]",8333.0,7,0,1,0,0.0
0,0.11483094099999999,46,0,"(-0.001, 0.000309]",6250.0,6,0,0,0,3.0
0,0.018886792,80,0,"(-0.001, 0.000309]",10060.0,5,0,0,0,0.0
0,0.6354151570000001,32,0,"(0.00468, 0.00649]",3000.0,4,0,1,0,1.0
0,0.9999998999999999,62,0,"(0.00649, 0.04]",8314.0,8,0,3,0,0.0
0,0.041257909,61,0,"(12.67, 3296.64]",,11,0,4,0,
0,0.096737158,47,0,"(-0.001, 0.000309]",8000.0,2,0,0,0,2.0
0,0.31844615,58,0,"(0.00649, 0.04]",3833.0,26,0,4,0,0.0
0,0.18698753399999998,52,0,"(-0.001, 0.000309]",3500.0,4,0,0,0,0.0
0,0.006541851,68,0,"(0.000309, 0.00134]",10000.0,10,0,2,0,1.0
0,0.180972181,39,1,"(0.00367, 0.00468]",3097.0,7,0,1,0,3.0
0,0.00750765,74,0,"(0.04, 12.67]",,4,0,0,0,0.0
0,0.06790706,46,0,"(0.00134, 0.00214]",10200.0,6,0,2,0,0.0
0,0.033461782,44,0,"(0.00649, 0.04]",4067.0,5,0,2,0,1.0
0,0.0075205919999999996,68,0,"(0.04, 12.67]",,4,0,0,0,0.0
0,0.015271802,68,0,"(0.000309, 0.00134]",8168.0,6,0,0,0,0.0
0,0.51712072,31,0,"(0.000309, 0.00134]",500.0,3,0,0,0,0.0
0,0.31797579600000003,34,0,"(0.00287, 0.00367]",4500.0,11,0,2,0,0.0
0,0.29759464199999996,67,0,"(0.00214, 0.00287]",4145.0,13,0,0,0,0.0
0,0.444837661,58,0,"(0.00367, 0.00468]",14000.0,9,0,2,1,4.0
0,0.277956679,39,0,"(12.67, 3296.64]",,9,0,2,0,0.0
0,0.003722015,58,0,"(0.00468, 0.00649]",3228.0,5,0,1,0,0.0
0,0.0,61,0,"(0.00214, 0.00287]",3300.0,14,0,1,0,0.0
0,0.0,59,0,"(0.00214, 0.00287]",19167.0,13,0,2,0,0.0
0,0.151912549,36,0,"(0.00214, 0.00287]",12000.0,22,0,2,0,0.0
0,0.0,59,0,"(0.00287, 0.00367]",4500.0,12,0,1,0,0.0
0,0.17572759300000002,43,1,"(0.04, 12.67]",,4,0,1,0,0.0
0,0.011498563,77,0,"(-0.001, 0.000309]",1000.0,1,0,0,0,0.0
0,0.0,48,0,"(0.00468, 0.00649]",4550.0,7,0,2,0,0.0
0,0.163037489,81,0,"(0.000309, 0.00134]",2751.0,7,0,0,0,1.0
0,0.047311582000000005,51,0,"(0.000309, 0.00134]",3150.0,5,0,0,0,0.0
0,0.083880003,53,0,"(0.00134, 0.00214]",7943.0,8,0,1,0,0.0
0,0.08947834800000001,56,0,"(0.00649, 0.04]",2700.0,11,0,1,0,2.0
0,0.773519223,63,0,"(0.00649, 0.04]",4139.0,12,0,1,0,1.0
0,0.093962275,55,0,"(0.000309, 0.00134]",9450.0,6,0,2,0,0.0
0,0.21955042,54,0,"(0.00287, 0.00367]",5417.0,20,0,2,0,1.0
0,0.147996253,55,0,"(0.00287, 0.00367]",6799.0,5,0,1,0,0.0
0,0.5765185589999999,72,0,"(12.67, 3296.64]",,11,0,1,0,0.0
0,0.24387202100000002,53,0,"(0.00468, 0.00649]",8639.0,22,0,2,0,3.0
0,0.36248381799999996,27,0,"(0.04, 12.67]",,4,0,0,0,0.0
0,0.116676791,31,0,"(0.00287, 0.00367]",3800.0,7,0,1,0,0.0
0,0.9999998999999999,38,0,"(0.00367, 0.00468]",5821.0,7,0,1,0,4.0
0,0.496911825,40,0,"(0.00367, 0.00468]",12500.0,11,0,2,0,2.0
0,0.130902106,48,1,"(0.00367, 0.00468]",3937.0,17,0,1,0,0.0
0,0.54699881,50,0,"(0.00649, 0.04]",3500.0,9,0,2,0,3.0
0,0.072277109,34,0,"(-0.001, 0.000309]",2083.0,2,0,0,0,0.0
0,0.0,48,2,"(0.00367, 0.00468]",3000.0,14,0,1,0,5.0
0,0.175932019,57,1,"(0.00649, 0.04]",3500.0,9,0,1,0,1.0
0,0.050789842,30,0,"(0.00287, 0.00367]",4000.0,4,0,1,0,1.0
0,0.0,28,0,"(0.00134, 0.00214]",3166.0,7,0,0,0,0.0
0,0.21286031,36,0,"(0.00468, 0.00649]",9583.0,10,0,2,0,1.0
0,0.012682366,60,0,"(0.00367, 0.00468]",6825.0,20,0,2,0,0.0
0,0.121557062,58,0,"(0.00287, 0.00367]",12000.0,23,0,2,0,4.0
0,0.040795358,49,0,"(0.00649, 0.04]",3100.0,11,0,1,0,0.0
0,0.147712223,40,0,"(0.000309, 0.00134]",6800.0,6,0,0,0,3.0
0,0.0,63,0,"(0.00649, 0.04]",,4,0,0,0,
0,0.0,50,1,"(0.00649, 0.04]",3477.0,5,0,1,0,1.0
0,0.07077191099999999,38,0,"(12.67, 3296.64]",,6,0,1,0,0.0
1,1.046279103,47,1,"(0.00649, 0.04]",5416.0,6,0,2,0,1.0
0,0.323719804,63,0,"(0.00468, 0.00649]",5146.0,9,0,2,0,2.0
0,0.36459777,42,0,"(0.00468, 0.00649]",6916.0,7,0,3,0,0.0
0,0.637736406,54,2,"(0.00649, 0.04]",1875.0,9,0,2,0,0.0
0,0.081379827,63,0,"(12.67, 3296.64]",,8,0,1,0,0.0
0,0.020966389,29,0,"(0.04, 12.67]",1.0,3,0,1,0,2.0
0,0.170103002,36,0,"(0.00134, 0.00214]",7734.0,8,0,0,0,0.0
0,0.7718456309999999,33,0,"(0.00649, 0.04]",5000.0,7,0,3,0,0.0
0,0.05538241,72,0,"(0.000309, 0.00134]",4500.0,4,0,0,0,0.0
0,0.9999998999999999,29,0,"(0.04, 12.67]",,2,0,0,0,0.0
0,0.16653274,53,0,"(0.00468, 0.00649]",7506.0,11,0,3,0,3.0
0,0.008632035,79,0,"(0.00287, 0.00367]",4200.0,9,0,1,0,0.0
0,0.13527952,58,0,"(0.00287, 0.00367]",9455.0,11,0,2,0,2.0
0,0.16757138900000002,69,0,"(0.00287, 0.00367]",5000.0,10,0,1,0,1.0
0,0.9999998999999999,69,0,"(-0.001, 0.000309]",2255.0,0,1,0,0,3.0
0,0.068335151,75,0,"(-0.001, 0.000309]",10065.0,9,0,0,0,0.0
0,0.0,41,0,"(0.00649, 0.04]",2400.0,6,0,1,0,0.0
1,0.946963874,35,0,"(12.67, 3296.64]",,6,0,1,0,1.0
0,0.405183973,46,0,"(0.00649, 0.04]",7700.0,22,0,2,0,1.0
0,0.055549312999999996,65,0,"(12.67, 3296.64]",,6,0,1,0,1.0
0,0.676195456,55,0,"(0.00367, 0.00468]",3970.0,10,1,1,0,0.0
0,0.18498678699999999,55,4,"(12.67, 3296.64]",,11,0,1,0,0.0
1,0.08533829300000001,51,0,"(0.00468, 0.00649]",6200.0,11,0,1,0,0.0
1,0.0,25,0,"(0.00134, 0.00214]",2916.0,3,0,0,1,0.0
1,0.7864854059999999,44,0,"(0.00287, 0.00367]",3883.0,7,2,0,2,1.0
0,0.0112096,86,0,"(0.04, 12.67]",,3,0,0,0,0.0
0,0.03833451,56,0,"(0.00367, 0.00468]",5000.0,7,0,2,0,0.0
0,0.714980139,55,0,"(0.00468, 0.00649]",15000.0,12,0,2,0,3.0
0,0.043032042,64,0,"(0.00287, 0.00367]",6833.0,14,0,2,0,0.0
0,1.095083357,53,5,"(0.00468, 0.00649]",3500.0,7,1,1,2,0.0
0,0.0,49,0,"(12.67, 3296.64]",,11,0,1,0,0.0
0,0.9999998999999999,55,0,"(0.00134, 0.00214]",3250.0,5,0,0,0,4.0
0,0.101430135,80,1,"(-0.001, 0.000309]",5000.0,9,0,0,0,0.0
1,0.025892468999999998,38,0,"(0.04, 12.67]",1.0,13,0,0,0,2.0
0,0.7621585609999999,44,4,"(0.00214, 0.00287]",21000.0,5,0,1,0,3.0
0,0.231692268,40,0,"(0.000309, 0.00134]",3300.0,7,0,0,0,0.0
0,0.114869499,35,0,"(0.04, 12.67]",,6,0,0,0,0.0
0,0.035489848,69,0,"(0.00287, 0.00367]",3400.0,9,0,1,0,0.0
0,0.045423864,64,0,"(0.00134, 0.00214]",5200.0,4,0,1,0,0.0
0,0.311954668,61,0,"(0.00214, 0.00287]",9866.0,12,0,2,0,2.0
0,0.07873891599999999,46,0,"(0.00134, 0.00214]",4800.0,6,0,1,0,4.0
0,0.137609462,49,0,"(0.00367, 0.00468]",7272.0,11,0,2,0,0.0
0,0.030173038,64,0,"(0.00134, 0.00214]",9000.0,8,0,1,0,0.0
0,0.021978375,40,0,"(0.00367, 0.00468]",10000.0,12,0,5,0,2.0
0,0.443696851,27,0,"(-0.001, 0.000309]",5833.0,4,0,0,0,0.0
0,0.007506793,60,0,"(0.04, 12.67]",,8,0,1,0,1.0
0,0.046640327999999995,92,1,"(0.000309, 0.00134]",2650.0,13,0,0,0,0.0
0,0.29236594899999996,50,0,"(0.00367, 0.00468]",8750.0,8,0,2,0,0.0
0,0.20808276,64,0,"(12.67, 3296.64]",,14,0,2,0,0.0
0,0.9999998999999999,66,1,"(0.00287, 0.00367]",1937.0,4,1,0,0,0.0
0,0.013500824,53,0,"(0.00134, 0.00214]",19000.0,8,0,1,0,2.0
0,0.9999998999999999,62,0,"(0.000309, 0.00134]",6000.0,1,0,0,0,0.0
1,0.655316473,63,0,"(12.67, 3296.64]",,19,0,2,0,0.0
0,0.9999998999999999,50,2,"(0.04, 12.67]",,4,0,1,0,0.0
0,0.028113957000000002,61,0,"(0.000309, 0.00134]",2200.0,12,0,0,0,0.0
0,0.22269620699999998,42,0,"(0.04, 12.67]",1.0,3,0,1,0,2.0
0,0.593985244,63,0,"(0.00287, 0.00367]",5250.0,4,0,2,0,0.0
0,0.017508178,73,1,"(0.00134, 0.00214]",4166.0,12,0,1,0,0.0
0,0.611865678,72,0,"(0.000309, 0.00134]",7600.0,3,0,1,0,0.0
0,0.333060631,52,3,"(0.00649, 0.04]",5215.0,15,0,2,1,0.0
0,0.009025178,45,0,"(0.00367, 0.00468]",8167.0,4,0,1,0,2.0
0,0.260271523,44,0,"(0.00287, 0.00367]",6962.0,11,0,1,0,0.0
0,0.455950788,63,1,"(0.00649, 0.04]",6001.0,19,0,2,0,0.0
0,0.080288098,37,0,"(0.00287, 0.00367]",6000.0,7,0,1,0,0.0
1,1.9534883719999998,38,0,"(0.00134, 0.00214]",3556.0,5,0,0,0,2.0
0,0.181557324,36,0,"(0.00468, 0.00649]",2000.0,7,0,1,0,1.0
0,0.147123525,41,0,"(0.00367, 0.00468]",6400.0,5,0,1,0,2.0
0,0.025601772000000002,63,1,"(0.00214, 0.00287]",10000.0,8,0,1,0,0.0
0,0.0,76,0,"(-0.001, 0.000309]",7704.0,3,0,0,0,0.0
0,0.196372799,43,0,"(0.00468, 0.00649]",2600.0,10,0,1,0,0.0
0,0.08394524199999999,64,0,"(0.00468, 0.00649]",2900.0,6,0,1,0,0.0
0,0.034833091000000004,67,0,"(0.00367, 0.00468]",12916.0,9,0,2,0,0.0
0,0.787522133,52,0,"(0.00287, 0.00367]",4416.0,12,0,0,0,1.0
0,0.0,66,0,"(12.67, 3296.64]",,8,0,1,0,0.0
0,0.125429152,55,0,"(0.00468, 0.00649]",5000.0,3,0,2,0,0.0
0,0.06037487,42,0,"(0.00468, 0.00649]",5833.0,17,0,2,0,2.0
0,0.9999998999999999,28,0,"(-0.001, 0.000309]",,0,0,0,0,
0,0.295928252,47,0,"(0.00214, 0.00287]",14000.0,6,0,2,0,1.0
1,0.973339258,61,1,"(0.00134, 0.00214]",5500.0,11,0,0,1,1.0
0,0.002856735,73,0,"(-0.001, 0.000309]",10500.0,10,0,0,0,0.0
0,0.8775648970000001,58,0,"(12.67, 3296.64]",,10,0,2,0,0.0
0,0.9999998999999999,68,0,"(0.000309, 0.00134]",6000.0,0,0,0,0,0.0
0,0.053431552,41,0,"(0.00134, 0.00214]",9000.0,3,0,1,0,0.0
0,0.732660667,44,2,"(0.00134, 0.00214]",9200.0,15,0,1,0,0.0
0,0.08422045800000001,42,0,"(0.00367, 0.00468]",6694.0,26,0,2,0,4.0
0,0.114561798,40,0,"(0.00287, 0.00367]",10000.0,20,0,2,0,2.0
0,0.012151003,78,0,"(-0.001, 0.000309]",4500.0,12,0,0,0,0.0
0,0.08131073700000001,81,0,"(0.00134, 0.00214]",3333.0,4,0,0,0,0.0
0,0.09811305,49,0,"(0.00214, 0.00287]",6625.0,9,0,2,0,0.0
1,1.048210842,58,7,"(0.00134, 0.00214]",3500.0,12,0,0,0,0.0
0,0.011883886000000001,54,0,"(0.000309, 0.00134]",9750.0,8,0,1,0,2.0
0,0.75264947,33,1,"(0.000309, 0.00134]",7166.0,6,0,0,0,0.0
0,0.112321289,53,0,"(0.00214, 0.00287]",8500.0,9,0,1,0,5.0
0,0.0,23,0,"(-0.001, 0.000309]",1725.0,1,0,0,0,0.0
0,0.6343270560000001,49,1,"(0.000309, 0.00134]",15000.0,7,0,0,0,1.0
0,0.15576324,44,0,"(0.00214, 0.00287]",4825.0,4,0,1,0,2.0
0,0.0,63,0,"(-0.001, 0.000309]",9387.0,9,0,0,0,0.0
0,0.09061488699999999,42,0,"(0.04, 12.67]",,5,0,0,0,0.0
0,0.034645112,65,0,"(0.000309, 0.00134]",12500.0,4,0,1,0,1.0
0,0.027446382999999998,54,0,"(12.67, 3296.64]",,6,0,1,0,0.0
0,0.41239862200000005,28,0,"(0.000309, 0.00134]",4991.0,5,0,0,0,0.0
0,0.024670782000000002,78,0,"(0.04, 12.67]",,6,0,1,0,
0,0.046710960999999995,66,0,"(0.00649, 0.04]",2500.0,12,0,1,0,0.0
0,0.976531824,32,0,"(0.00214, 0.00287]",6800.0,6,0,0,0,2.0
0,0.007982621,43,1,"(-0.001, 0.000309]",208333.0,11,0,1,0,1.0
0,0.267541336,59,0,"(0.00468, 0.00649]",5700.0,13,0,2,0,1.0
0,0.019779326,76,0,"(0.00214, 0.00287]",2900.0,9,0,0,0,0.0
0,0.010402205,68,0,"(0.000309, 0.00134]",3600.0,6,0,1,0,0.0
0,0.9999998999999999,61,0,"(0.00468, 0.00649]",1285.0,3,0,1,0,0.0
0,0.029816467000000003,68,0,"(0.00134, 0.00214]",4464.0,12,0,1,0,1.0
0,0.181713732,57,0,"(0.000309, 0.00134]",11666.0,17,0,1,0,1.0
0,0.051368557,68,0,"(0.00367, 0.00468]",4668.0,10,0,1,0,2.0
0,0.29264536,57,0,"(0.00134, 0.00214]",26484.0,11,0,2,0,3.0
1,0.22082371899999997,46,1,"(0.00468, 0.00649]",1705.0,5,0,0,0,0.0
0,0.008099838,69,0,"(0.00367, 0.00468]",8332.0,3,0,1,0,0.0
0,0.0,44,0,"(0.00287, 0.00367]",6666.0,4,0,2,0,1.0
0,0.006099797,28,0,"(0.00134, 0.00214]",3750.0,8,0,0,0,0.0
0,0.909538698,53,1,"(0.00468, 0.00649]",7500.0,16,0,1,0,1.0
0,0.941072508,40,0,"(0.00134, 0.00214]",8855.0,9,0,1,0,0.0
0,0.991667222,36,1,"(0.00468, 0.00649]",5411.0,10,0,2,0,1.0
0,0.6914884179999999,42,0,"(0.00214, 0.00287]",16250.0,11,0,1,0,1.0
0,0.11285525800000001,64,0,"(0.00287, 0.00367]",2652.0,6,0,1,0,0.0
0,0.260971034,57,0,"(12.67, 3296.64]",,16,0,3,0,
0,0.048244493,62,0,"(0.00214, 0.00287]",16615.0,11,0,1,0,1.0
0,0.9999998999999999,47,0,"(0.000309, 0.00134]",9493.0,2,2,0,1,0.0
0,0.9999998999999999,62,0,"(-0.001, 0.000309]",5480.0,3,0,0,0,0.0
0,0.074256375,49,0,"(0.00287, 0.00367]",5000.0,11,0,2,0,3.0
0,0.14487840800000001,66,0,"(0.00214, 0.00287]",8900.0,9,0,1,0,0.0
0,0.19100193199999999,54,0,"(0.00649, 0.04]",5081.0,10,0,2,0,2.0
0,0.21938287899999998,56,1,"(0.04, 12.67]",,9,0,1,0,1.0
0,0.679813777,83,0,"(0.00649, 0.04]",4216.0,6,0,2,0,0.0
0,2340.0,45,0,"(0.00287, 0.00367]",8333.0,7,0,2,0,2.0
0,0.371875401,29,0,"(0.00468, 0.00649]",2300.0,9,0,1,0,3.0
0,0.025856407999999997,67,0,"(0.000309, 0.00134]",13054.0,13,0,1,0,0.0
0,0.547887778,29,1,"(0.00214, 0.00287]",2725.0,5,0,0,1,0.0
0,0.271668778,46,1,"(0.00214, 0.00287]",15800.0,14,0,2,0,4.0
0,0.085152475,25,0,"(0.04, 12.67]",0.0,5,0,0,0,0.0
0,0.897203427,68,0,"(0.00649, 0.04]",4000.0,8,0,2,0,0.0
0,0.25889775,33,0,"(0.00468, 0.00649]",4900.0,3,0,1,0,1.0
0,0.0,55,1,"(0.000309, 0.00134]",5590.0,8,0,0,0,0.0
0,0.035940506000000004,46,0,"(0.00214, 0.00287]",6666.0,10,0,1,0,3.0
0,0.9999998999999999,66,0,"(0.000309, 0.00134]",11600.0,2,0,0,0,1.0
0,0.465238835,66,0,"(0.00367, 0.00468]",3172.0,8,1,1,0,0.0
0,0.8654230509999999,48,0,"(0.000309, 0.00134]",500.0,1,0,0,0,0.0
0,0.6964116709999999,52,0,"(0.00367, 0.00468]",11000.0,11,0,1,0,4.0
0,0.5444976579999999,32,1,"(0.00134, 0.00214]",6667.0,5,1,0,0,0.0
0,0.081238383,51,0,"(0.000309, 0.00134]",7750.0,14,0,0,0,2.0
0,0.9487628090000001,27,0,"(0.00134, 0.00214]",4166.0,5,0,0,0,0.0
0,0.0,32,2,"(0.00367, 0.00468]",7460.0,10,0,1,1,0.0
0,0.016598893,30,0,"(0.00134, 0.00214]",1500.0,5,0,0,0,0.0
0,0.063329564,37,0,"(0.00287, 0.00367]",6179.0,6,0,1,0,3.0
0,0.093638481,49,0,"(0.000309, 0.00134]",8333.0,10,0,0,0,1.0
0,0.0,37,0,"(0.00134, 0.00214]",7900.0,5,0,1,0,5.0
0,0.730271957,36,1,"(0.00468, 0.00649]",5500.0,10,0,2,0,0.0
0,0.42637114200000004,62,1,"(0.00367, 0.00468]",3666.0,15,0,1,0,0.0
0,0.948978489,57,0,"(0.000309, 0.00134]",8000.0,3,0,0,0,1.0
0,0.0,59,0,"(-0.001, 0.000309]",4200.0,7,0,0,0,1.0
